title,artist,description,purchase_price,sale_price,gross_appreciation_multiplier,gross_appreciation_period,url,has_image,image_url
Dancing man,ANDY WARHOL (b. 1928 d. 1987),ink and gouache on paper,$6.9K,$49.1K,7.1x,10 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/dancing-man-1950-w:6d63167bc2ee796,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL20026lot200.jpg
Dollar sign,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen ink on canvas,$55.6K,$383.5K,6.9x,5 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/dollar-sign-1981-w:69852028398e76e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL07023lot135.jpg
Campbell's soup can (tomato soup),ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$83.1K,$528.2K,6.4x,19 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/campbell's-soup-can-(tomato-soup)-w:d648094a60b6eb5,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN10789lot309.jpg
Torso,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$18K,$113.4K,6.3x,20 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/torso-1976-w:7b89091c2ad1ebf,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN10789lot272.jpg
Nine multicolored marilyns (reversal series),ANDY WARHOL (b. 1928 d. 1987),"""acrylic, synthetic polymer paint and silkscreen inks on canvas""",$335K,$2.1M,6.3x,10 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/nine-multicolored-marilyns-(reversal-series)-1986-w:ecdbf5427265db4,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL7024lot56.jpg
Large flowers,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen inks on canvas,$1.1M,$6.7M,6.1x,15 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/large-flowers-1964-w:fb075ad3654991c,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN1373lot58.jpg
Dennis hopper,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen inks on canvas,$162K,$962.5K,5.9x,12 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/dennis-hopper-1971-w:b6458ed648a275a,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2355lot389.jpg
Brillo soap pads box,ANDY WARHOL (b. 1928 d. 1987),silkscreen ink and house paint on plywood,$77K,$437.5K,5.7x,30 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/brillo-soap-pads-box-1964-w:d80deaacb46e007,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CNY010419lot193.jpg
Flowers,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen ink on canvas,$41.8K,$233K,5.6x,13 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/flowers-1964-w:e17c74e3c248b04,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN12154lot121.jpg
Oxidation painting,ANDY WARHOL (b. 1928 d. 1987),"""copper metallic pigment and mixed media on canvas, in nine parts""",$116K,$642.4K,5.5x,7 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/oxidation-painting-1978-w:7f7c0171e7003ec,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL07022lot52.jpg
Hearts,ANDY WARHOL (b. 1928 d. 1987),104.14 cm x 104.14 cm,$50.6K,$275K,5.4x,21 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/hearts-1981-w:7307c8b8363d24a,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN18982lot746.jpg
Fish (from toy series),ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$19.2K,$104.3K,5.4x,9 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/fish-(from-toy-series)-1983-w:590b6a890a52c74,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PL1107lot261.jpg
Blue airmail stamp,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen inks on canvas,$62.5K,$331.1K,5.3x,7 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/blue-airmail-stamp-1962-w:dd006fa4d80ad5b,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL5225lot426.jpg
Four-foot flowers,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen inks on canvas,$736K,$3.7M,5.1x,4 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/four-foot-flowers-1964-w:edc38820c28f8cc,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN1078lot549.jpg
Robert mapplethorpe,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen inks on canvas,$80K,$396.8K,5x,17 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/robert-mapplethorpe-1983-w:2a789cfc92b92a1,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN1726lot587.jpg
Portrait of paul jenkins,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$34.5K,$167K,4.8x,14 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/portrait-of-paul-jenkins-1979-w:0cb40e0d3314719,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SNY010413lot298.jpg
Skull,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$333.7K,$1.6M,4.8x,5 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/skull-1976-w:cec769058d58c7b,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08441lot8.jpg
Hamburger,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen ink on canvas,$37.8K,$179K,4.7x,8 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/hamburger-1986-w:33f2b27da3134b5,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CNY010413lot130.jpg
Head (after picasso),ANDY WARHOL (b. 1928 d. 1987),charcoal,$16.8K,$71.8K,4.3x,20 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/head-(after-picasso)-1985-w:93c5d0e6d43030e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SNY010820lot329.jpg
Knives,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$65.6K,$277.8K,4.2x,17 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/knives-w:eb0d6464c2d5131,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL21023lot648.jpg
Mona lisa,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen ink on vellum,$25.9K,$106.3K,4.1x,10 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/mona-lisa-1980-w:556f08bdd0de78c,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL7991lot185.jpg
Hector and andromache (after de chirico),ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$690.6K,$2.8M,4x,8 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/hector-and-andromache-(after-de-chirico)-1982-w:7770fbc5a86deb2,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL15020lot210.jpg
Gun,ANDY WARHOL (b. 1928 d. 1987),graphite on paper,$34.7K,$137K,3.9x,15 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/gun-1981-w:caff55a87494dbf,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SNY010814lot56.jpg
Untitled (mick jagger),ANDY WARHOL (b. 1928 d. 1987),polaroid,$4.7K,$18.2K,3.9x,16 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/untitled-(mick-jagger)-1975-w:33f921a6701fcfc,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL17021lot62.jpg
Untitled,ANDY WARHOL (b. 1928 d. 1987),pen and ink on newsprint,$4.3K,$16.3K,3.8x,17 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/untitled-1952-w:83a2dacba83e0ad,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PNY010817lot205.jpg
Candy box open,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$36.5K,$137.4K,3.8x,8 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/candy-box-open-1983-w:e3663343a767466,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL10021lot570.jpg
Two multicolored marilyns (reversal series),ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen ink on canvas,$449.5K,$1.7M,3.7x,14 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/two-multicolored-marilyns-(reversal-series)-1986-w:e3bbf8be35800d7,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PN12153lot31.jpg
Self-portrait,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen ink on canvas,$94K,$352K,3.7x,5 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/self-portrait-1986-w:96e6cf8adfd46c0,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN1726lot1.jpg
Oxidation painting no. 11,ANDY WARHOL (b. 1928 d. 1987),copper metallic pigment and urine on canvas,$25.3K,$93.8K,3.7x,19 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/oxidation-painting-no.-11-1978-w:fdebf3719f30e87,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN09824lot159.jpg
The american man (portrait of watson powell),ANDY WARHOL (b. 1928 d. 1987),"""acrylic and silkscreen ink on canvas, in 2 parts""",$78.4K,$289K,3.7x,7 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/the-american-man-(portrait-of-watson-powell)-1964-w:2d0fd8aa9a8764f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08442lot184.jpg
Self-portrait,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$1.8M,$6.5M,3.7x,14 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/self-portrait-1966-w:1021a96896b808a,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN12156lot8.jpg
Portrait of madame smith,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen inks on canvas,$33K,$119.5K,3.6x,14 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/portrait-of-madame-smith-1979-w:d2ed7048444f04c,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN1432lot219.jpg
Last supper,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen ink on canvas,$1.8M,$6.4M,3.6x,5 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/last-supper-1986-w:5b5afebf0530e4d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL7602lot30.jpg
Little electric chair,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on linen,$2.3M,$8.2M,3.5x,18 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/little-electric-chair-1965-w:3f3c0d1289b8183,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN16977lot17.jpg
Campbell's soup can (pepper pot),ANDY WARHOL (b. 1928 d. 1987),casein and pencil on canvas,$2.4M,$8.4M,3.5x,4 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/campbell's-soup-can-(pepper-pot)-1962-w:d4136d098016657,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08363lot5.jpg
Campell's chicken noodle soup box,ANDY WARHOL (b. 1928 d. 1987),wall relief--synthetic polymer and silkscreen inks on canvas,$206.3K,$718.1K,3.5x,8 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/campell's-chicken-noodle-soup-box-1986-w:903ea0bf600bdb3,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN1574lot430.jpg
Untitled,ANDY WARHOL (b. 1928 d. 1987),silver gelatin print,$1.2K,$4.1K,3.5x,14 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/untitled-1968-w:fbf2c09b233af7e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/DUK010818lot156.jpg
Aretha franklin,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$305K,$1M,3.4x,5 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/aretha-franklin-w:e6619561bf45f9b,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN10637lot250.jpg
Lenin,ANDY WARHOL (b. 1928 d. 1987),silkscreen ink and synthetic polymer on canvas,$147.8K,$503.2K,3.4x,17 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/lenin-1986-w:7b648d7f5631d54,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CP14890lot421.jpg
Flowers,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen ink on canvas,$57.4K,$194.5K,3.4x,7 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/flowers-1964-w:504451a33be3738,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2315lot401.jpg
Weather map,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen ink on canvas,$23.8K,$80.5K,3.4x,10 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/weather-map-1986-w:abb20aed0f98730,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08745lot338.jpg
Hammer & sickle,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen inks on canvas,$58.6K,$194.5K,3.3x,9 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/hammer-&-sickle-1976-w:307a2af778d2a2c,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN2558lot260.jpg
Hamburger,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen ink on canvas,$48K,$158.5K,3.3x,5 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/hamburger-1985-w:151a37490c42c73,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PN2441lot184.jpg
Myths (mickey mouse),ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen ink on canvas,$589.9K,$1.9M,3.3x,4 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/myths-(mickey-mouse)-1981-w:bde366510de97d4,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08317lot68.jpg
Toy painting (monkey),ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen inks on canvas,$17.3K,$56.1K,3.2x,7 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/toy-painting-(monkey)-1983-w:c9cf484607a2ffa,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL7025lot71.jpg
Prince,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$54.7K,$173.7K,3.2x,13 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/prince-1984-w:4f229a04de7e2ec,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL15025lot222.jpg
Scream (after edward munch),ANDY WARHOL (b. 1928 d. 1987),unique screenprint on lenox museum board,$22.7K,$72K,3.2x,4 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/scream-(after-edward-munch)-1983-w:364d00a4f0ff057,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN08244lot324.jpg
Knives,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen inks on canvas,$639.2K,$2M,3.1x,8 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/knives-1981-w:d085d50f4230ec5,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CNY010213lot55.jpg
Self-portrait,ANDY WARHOL (b. 1928 d. 1987),silkscreen ink on paper,$38.2K,$118.8K,3.1x,10 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/self-portrait-1967-w:797358e1f440edf,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08992lot152.jpg
Judy garland,ANDY WARHOL (b. 1928 d. 1987),silkscreen on paper,$34.5K,$106.3K,3.1x,12 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/judy-garland-1978-w:33e5749286570b9,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL11025lot498.jpg
Broadway,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen inks on canvas,$29.7K,$90.5K,3x,11 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/broadway-1976-w:0e88724afedc12c,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN8908lot116.jpg
Paramount,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint on hmp paper,$30K,$90K,3x,10 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/paramount-1985-w:1feaa3986308fc0,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/HNY010815lot113A.jpg
Electric chairs,ANDY WARHOL (b. 1928 d. 1987),the complete portfolio of 10 color screenprints on paper,$72K,$212.5K,3x,12 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/electric-chairs-1971-w:bd3621154e80643,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PNY010816lot283.jpg
Marilyn monroe (f. & s. ii.22-31),ANDY WARHOL (b. 1928 d. 1987),"""the complete portfolio of 10 colour screenprints on paper, accompanied by the original stamp-number",$790K,$2.3M,2.9x,11 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/marilyn-monroe-(f.-&-s.-ii.22-31)-1967-w:377cf53215830a3,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL15024lot5.jpg
Toy painting (fish),ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen inks on canvas,$33.6K,$98.5K,2.9x,3 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/toy-painting-(fish)-1983-w:18ec8359607663e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08593lot163.jpg
"""toy painting, moon explorer""",ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$114K,$325K,2.9x,13 years,"https://www.masterworks.com/research/artist/andy-warhol/artwork/%22toy-painting,-moon-explorer%22-1983-w:7710e0b60396234",True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN16978lot322.jpg
Gun,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$132K,$364K,2.8x,10 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/gun-1982-w:c953d809fa037b2,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL11021lot358.jpg
Knives,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen inks on canvas,$114K,$313.4K,2.7x,4 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/knives-1982-w:fe37611c49d4a01,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL7603lot223.jpg
Three works: (i-iii) self-portrait,ANDY WARHOL (b. 1928 d. 1987),polaroid photographs,$39.3K,$106.3K,2.7x,11 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/three-works:-(i-iii)-self-portrait-1986-w:6efa5efd8b17f64,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PNY010819lot14.jpg
Torso,ANDY WARHOL (b. 1928 d. 1987),8.6 cm x 10.6 cm,$2.8K,$7.5K,2.7x,6 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/torso-1977-w:38f2159afedb20b,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/PL21019lot106.jpg
Torso,ANDY WARHOL (b. 1928 d. 1987),screenprint and diamond dust on paper,$11.7K,$31.6K,2.7x,5 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/torso-1982-w:ee0700016cf151e,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL7619lot269.jpg
Mobilgas,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint on hmp paper,$37.2K,$100K,2.7x,10 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/mobilgas-1985-w:3915916098f0e28,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/HNY010815lot113B.jpg
Flowers,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen inks on canvas,$90K,$240.3K,2.7x,9 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/flowers-1964-w:dc5ccc763e33133,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CS3397lot204.jpg
Vw beetle,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen ink on canvas,$92K,$243K,2.6x,14 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/vw-beetle-1970-w:a00bc0ad7a280bd,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL15474lot2.jpg
Self-portrait (pink),ANDY WARHOL (b. 1928 d. 1987),silkscreen ink on coloured paper,$33K,$86.4K,2.6x,4 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/self-portrait-(pink)-1967-w:a4e0a7f5c8a200a,False,
Wild raspberries,ANDY WARHOL (b. 1928 d. 1987),complete set of 18 offset lithographs (15 with hand coloring; 1 with gold foil collage) and title pa,$26.3K,$68.5K,2.6x,2 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/wild-raspberries-1959-w:f8e526e78dee650,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08745lot206.jpg
Holly solomon,ANDY WARHOL (b. 1928 d. 1987),"""9 panels--acrylic, silkscreen ink and graphite on linen""",$2.1M,$5.5M,2.6x,9 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/holly-solomon-1966-w:6005f38f6f3b981,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN2314lot4.jpg
Campbell's soup box (chicken noodle),ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen inks on canvas,$35.3K,$90K,2.6x,5 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/campbell's-soup-box-(chicken-noodle)-1986-w:87c26a684b7690f,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN1517lot718.jpg
Perrier bottles,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer and silkscreen inks on canvas,$32.9K,$84K,2.6x,4 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/perrier-bottles-1984-w:b7d76f9077caad0,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN1574lot194.jpg
Heinz tomato ketchup,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on wood in five parts,$98.5K,$249.6K,2.5x,5 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/heinz-tomato-ketchup-1964-w:13c42f6a48969d3,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN8129lot35C.jpg
Dennis hopper,ANDY WARHOL (b. 1928 d. 1987),polaroid,$4.2K,$10.6K,2.5x,6 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/dennis-hopper-1958-w:9622f6b5c8cabd5,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN1872lot117.jpg
Joan robbins,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$131.1K,$329.9K,2.5x,14 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/joan-robbins-w:e7624ccb5fbecfd,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL20025lot131.jpg
Double elvis,ANDY WARHOL (b. 1928 d. 1987),"""silver paint, synthetic polymer and silkscreen inks on canvas""",$203.5K,$497.5K,2.4x,9 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/double-elvis-1963-w:16b8acc58c792f1,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN8168lot36.jpg
Self-portrait,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$726.6K,$1.8M,2.4x,7 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/self-portrait-1978-w:dd33c887a718c40,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN09714lot44.jpg
Heaven and hell are just one breath away (positive),ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen ink on canvas,$60.7K,$146.5K,2.4x,9 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/heaven-and-hell-are-just-one-breath-away-(positive)-1986-w:a15c0bba1af163d,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN08854lot58.jpg
Skull,ANDY WARHOL (b. 1928 d. 1987),graphite on paper,$27K,$65K,2.4x,17 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/skull-1978-w:93f303a9d0c468c,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN18549lot258.jpg
Jackie,ANDY WARHOL (b. 1928 d. 1987),spray paint and silkscreen ink on canvas,$580.8K,$1.4M,2.4x,10 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/jackie-1964-w:9988afa9ed8b193,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL14020lot7.jpg
Parrot,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen ink on canvas,$47.9K,$112.9K,2.4x,6 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/parrot-1983-w:1257256eff2a9f0,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SHK0556lot270.jpg
Two multicolored marilyns (reversal series),ANDY WARHOL (b. 1928 d. 1987),"""acrylic, synthetic polymer paint and silkscreen inks on canvas""",$167.5K,$389.5K,2.3x,7 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/two-multicolored-marilyns-(reversal-series)-1979-w:7a634bf69a377fc,False,
Brillo box,ANDY WARHOL (b. 1928 d. 1987),silkscreen inks on masonite,$57.1K,$130.1K,2.3x,7 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/brillo-box-1968-w:27e6ac7eb1cc393,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CL5225lot425.jpg
Flowers (tapestry),ANDY WARHOL (b. 1928 d. 1987),tapestry,$12.7K,$28.8K,2.3x,1 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/flowers-(tapestry)-1980-w:98223cdf870d43d,False,
Queen elizabeth,ANDY WARHOL (b. 1928 d. 1987),graphite on paper,$53.9K,$121.9K,2.3x,16 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/queen-elizabeth-1978-w:aa0cdbdfa9f6648,False,
Dollar sign,ANDY WARHOL (b. 1928 d. 1987),synthetic polymer paint and silkscreen inks on canvas,$1.6M,$3.6M,2.3x,5 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/dollar-sign-1981-w:78f62c8463191f6,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SL7834lot50.jpg
Untitled (cat),ANDY WARHOL (b. 1928 d. 1987),acrylic silkscreened on canvas,$13.5K,$29.9K,2.2x,11 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/untitled-(cat)-1976-w:64ab616152484fe,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/SN6617lot282.jpg
Self-portrait,ANDY WARHOL (b. 1928 d. 1987),acrylic and silkscreen ink on canvas,$1.5M,$3.2M,2.2x,8 years,https://www.masterworks.com/research/artist/andy-warhol/artwork/self-portrait-1966-w:5d76b1574854849,True,https://static.masterworks.io/resize/800/masterworks-research/public-research/price_database/CN09221lot148.jpg
